sid,search,"splunk_server","_time","is_realtime","api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"1635209828.317","| savedsearch instrumentation.usage.healthMonitor.currentState","DESKTOP-7BRP32B","1635209828.186933",0,"1635109200.000000000","1635195599.000000000",0,1635209828,1,0,"1635109200.000000000","1635195599.000000000",completed,"29.713",,,,,,,,,,,,,,,
"1635209888.318","| savedsearch instrumentation.usage.savedSearches.alerts","DESKTOP-7BRP32B","1635209888.213417",0,"1635109200.000000000","1635195599.000000000",0,1635209888,27,0,"1635109200.000000000","1635195599.000000000",completed,"30.16",,,,,,,,,,,,,,,
"1635209948.319","| savedsearch instrumentation.usage.streamingMetricAlerts","DESKTOP-7BRP32B","1635209948.754461",0,"1635109200.000000000","1635195599.000000000",0,1635209954,0,0,"1635109200.000000000","1635195599.000000000",completed,"54.653",,,,,,,,,,,,,,,
"1635210026.320","| savedsearch instrumentation.usage.durableSearch","DESKTOP-7BRP32B","1635210026.749563",0,"1635109200.000000000","1635195599.000000000",0,1635210027,0,0,"1635109200.000000000","1635195599.000000000",completed,"1.301",,,,,,,,,,,,,,,
"1635210270.322","| savedsearch instrumentation.performance.indexing","DESKTOP-7BRP32B","1635210270.857930",0,"1635109200.000000000","1635195599.000000000",1001,1635210271,1,1001,"1635109200.000000000","1635195599.000000000",completed,"29.366",,,,,,,,,,,,,,,
"1635210330.323","| savedsearch instrumentation.performance.search","DESKTOP-7BRP32B","1635210330.626281",0,"1635109200.000000000","1635195599.000000000",143,1635210331,1,143,"1635109200.000000000","1635195599.000000000",completed,"0.198",,,,,,,,,,,,,,,
"1635210332.324","| savedsearch instrumentation.usage.search.concurrent","DESKTOP-7BRP32B","1635210332.226334",0,"1635109200.000000000","1635195599.000000000",133,1635210332,1,133,"1635109200.000000000","1635195599.000000000",completed,"0.201",,,,,,,,,,,,,,,
"1635210333.325","| savedsearch instrumentation.usage.users.active","DESKTOP-7BRP32B","1635210333.584481",0,"1635109200.000000000","1635195599.000000000",1550,1635210333,1,1666,"1635109200.000000000","1635195599.000000000",completed,"0.203",,,,,,,,,,,,,,,
"1635210363.326","| savedsearch instrumentation.deployment.node","DESKTOP-7BRP32B","1635210363.967704",0,"1635109200.000000000","1635195599.000000000",66,1635210364,1,66,"1635109200.000000000","1635195599.000000000",completed,"29.554000000000002",,,,,,,,,,,,,,,
"1635210395.327","| savedsearch instrumentation.deployment.index","DESKTOP-7BRP32B","1635210395.454048",0,"1635109200.000000000","1635195599.000000000",0,1635210395,12,0,"1635109200.000000000","1635195599.000000000",completed,"0.715",,,,,,,,,,,,,,,
"1635210397.328","| savedsearch instrumentation.usage.search.type","DESKTOP-7BRP32B","1635210397.373431",0,"1635109200.000000000","1635195599.000000000",133,1635210397,1,133,"1635109200.000000000","1635195599.000000000",completed,"0.164",,,,,,,,,,,,,,,
"1635210427.329","| savedsearch instrumentation.licensing.stack","DESKTOP-7BRP32B","1635210427.832377",0,"1635109200.000000000","1635195599.000000000",1,1635210428,1,1,"1635109200.000000000","1635195599.000000000",completed,"29.195",,,,,,,,,,,,,,,
"1635210458.330","| savedsearch instrumentation.deployment.forwarders","DESKTOP-7BRP32B","1635210458.218327",0,"1635109200.000000000","1635195599.000000000",0,1635210487,0,0,"1635109200.000000000","1635195599.000000000",completed,"0.159",,,,,,,,,,,,,,,
"1635210517.331","| savedsearch instrumentation.usage.indexing.sourcetype","DESKTOP-7BRP32B","1635210517.731352",0,"1635109200.000000000","1635195599.000000000",9221,1635210518,26,9221,"1635109200.000000000","1635195599.000000000",completed,"0.229",,,,,,,,,,,,,,,
"1635210548.332","| savedsearch instrumentation.deployment.clustering.indexer","DESKTOP-7BRP32B","1635210548.136054",0,"1635109200.000000000","1635195599.000000000",0,1635210548,1,0,"1635109200.000000000","1635195599.000000000",completed,"29.192",,,,,,,,,,,,,,,
"1635210578.333","| savedsearch instrumentation.usage.app.page","DESKTOP-7BRP32B","1635210578.641227",0,"1635109200.000000000","1635195599.000000000",90,1635210608,15,150,"1635109200.000000000","1635195599.000000000",completed,"0.28600000000000003",,,,,,,,,,,,,,,
"1635210638.334","| savedsearch instrumentation.authentication.jwt","DESKTOP-7BRP32B","1635210638.044396",0,"1635109200.000000000","1635195599.000000000",0,1635210638,1,0,"1635109200.000000000","1635195599.000000000",completed,"30.007",,,,,,,,,,,,,,,
"1635210698.335","| savedsearch instrumentation.usage.bucketmerge.standalone","DESKTOP-7BRP32B","1635210698.290910",0,"1635109200.000000000","1635195599.000000000",0,1635210698,0,0,"1635109200.000000000","1635195599.000000000",completed,"30.078",,,,,,,,,,,,,,,
"1635210910.336","search index=_introspection sourcetype=splunk_telemetry | spath date | search  date>=2021-10-25 date<=2021-10-25 (visibility= *anonymous* OR visibility= *license* OR visibility= *support*)","DESKTOP-7BRP32B","1635210910.261446",0,"1635207978.000000000","1635210909.000000000",111,1635210939,111,111,"1635207978.000000000","1635210909.000000000",completed,"0.187",,,,,,,,,,,,,,,
